id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q34518009,monarch of the Solomon Islands,Q685,,,,,,,,
Q1840326,Governor-General of the Solomon Islands,,,,,1978-07-07,,,,Governor-General of Solomon Islands
Q1425954,Prime Minister of the Solomon Islands,Q685,Q685,,,1978-07-07,,,,Prime Minister of Solomon Islands
Q109910431,Minister of Agriculture & Livestock,Q685,Q685,,,,,,,
Q109910370,"Minister for Commerce, Industries, Labour and Immigration",Q685,Q685,,,,,,,
Q109910359,Minister for Communications & Aviation,Q685,Q685,,,,,,,
Q109910303,Minister of Culture and Tourism,Q685,Q685,,,,,,,
Q109910344,Minister for Education & Human Resources Development,Q685,Q685,,,,,,,
Q109910286,Minister of Finance and Treasury,Q685,Q685,,,,,,,
Q109910268,Minister for Fisheries and Marine Resources,Q685,Q685,,,,,,,
Q20716385,Minister of Foreign Affairs and External Trade,Q685,,,,,,,,Minister of Foreign Affairs (Solomon Islands)
Q109910378,Minister for Forestry and Research,Q685,Q685,,,,,,,
Q109910426,Minister of Health & Medical Services,Q685,Q685,,,,,,,
Q109910458,Minister of Home Affairs,Q685,Q685,,,,,,,
Q109910295,Minister of Infrastructure Development,Q685,Q685,,,,,,,
Q109910453,Minister of Justice and Legal Affairs,Q685,Q685,,,,,,,
Q109910420,"Minister of Lands, Housing and Survey",Q685,Q685,,,,,,,
Q109910443,"Minister for Mines, Energy & Rural Electrification",Q685,Q685,,,,,,,
Q109910323,Minister for Development Planning and Aid Coordination,Q685,Q685,,,,,,,
Q109910256,"Minister of Police, National Security and Correctional Services",Q685,Q685,,,,,,,
Q109910374,Minister of Provincial Government and Institutional Strengthening,Q685,Q685,,,,,,,
Q109910727,Minister of Public Service,Q685,Q685,,,,,,,
Q109910448,Minister for Rural Development,Q685,Q685,,,,,,,
Q109910308,"Minister of Traditional Governance, Peace and Ecclesiastical Affairs",Q685,Q685,,,,,,,
Q109910413,"Minister of Women, Youth, Children & Family Affairs",Q685,Q685,,,,,,,
Q7574296,Speaker of the National Parliament of Solomon Islands,,,,,,,,,Speaker of the National Parliament of Solomon Islands
Q109911173,Governor of the Central Bank of Solomon Islands,Q685,,,,,,,,
